Name,Gender,Grade,Because I need at least a high-school degree in order to find a high-paying job later on.,Because I experience pleasure and satisfaction while learning new things.,Because I think that a high-school education will help me better prepare for the career I have chosen.,Because I really like going to school.,"Honestly, I don't know; I really feel that I am wasting my time in school.",For the pleasure I experience while surpassing myself in my studies.,To prove to myself that I am capable of completing my high-school degree.,In order to obtain a more prestigious job later on.,For the pleasure I experience when I discover new things never seen before.,Because eventually it will enable me to enter the job market in a field that I like.,"Because for me, school is fun.","I once had good reasons for going to school; however, now I wonder whether I should continue.",For the pleasure that I experience while I am surpassing myself in one of my personal accomplishments.,"Because of the fact that when I succeed in school I feel
important.","Because I want to have ""the good life"" later on.","For the pleasure that I experience in broadening my
knowledge about subjects which appeal to me.",Because this will help me make a better choice regarding my career orientation.,"For the pleasure that I experience when I am taken by
discussions with interesting teachers.","I can't see why I go to school and frankly, I couldn't care
less.","For the satisfaction I feel when I am in the process of
accomplishing difficult academic activities.",To show myself that I am an intelligent person.,In order to have a better salary later on.,"Because my studies allow me to continue to learn about
many things that interest me.","Because I believe that my high school education will
improve my competence as a worker.","For the ""high"" feeling that I experience while reading about various interesting subjects.",I don't know; I can't understand what I am doing in school.,Because high school allows me to experience a personal satisfaction in my quest for excellence in my studies.,"Because I want to show myself that I can succeed in my
studies.",Cluster
1395,Female,3,7,7,1,4,1,1,5,7,4,3,4,7,1,1,5,6,4,5,4,1,5,1,3,4,2,3,7,7,1
1396,Male,7,6,1,5,1,2,7,2,7,7,2,6,5,3,4,5,6,1,6,4,3,6,1,6,7,6,4,4,7,1
1397,Female,8,3,1,4,6,5,6,1,2,5,6,2,3,3,7,2,3,4,3,7,6,4,1,6,1,7,5,1,6,0
1398,Male,10,2,3,2,3,2,4,2,6,2,1,4,6,6,5,1,7,4,1,5,1,5,7,2,1,3,6,4,4,0
1399,Female,8,7,3,5,3,6,5,4,1,4,2,3,2,6,1,2,5,4,4,1,5,2,5,4,4,3,7,4,4,1
1400,Male,7,5,3,4,3,3,5,6,4,4,2,5,6,2,3,1,4,4,3,3,4,6,5,3,2,2,2,3,2,1
1401,Female,3,1,3,7,4,1,6,2,2,2,7,2,4,5,6,5,6,5,3,6,1,1,1,3,4,4,2,7,1,0
1402,Male,1,3,2,6,4,2,6,3,5,5,3,4,2,3,6,7,6,1,2,3,4,3,2,6,1,1,5,3,2,1
1403,Female,8,4,4,6,5,1,3,5,6,6,1,2,4,2,3,3,7,6,1,7,5,2,6,1,4,2,3,2,5,0
1404,Female,4,6,7,6,7,6,1,1,1,1,1,7,5,3,3,7,3,6,4,6,2,4,1,3,1,5,6,6,2,0
1405,Male,11,5,5,1,2,3,1,1,3,7,5,1,3,1,1,1,6,7,5,2,6,5,6,1,3,7,2,1,6,1
1406,Male,2,7,5,3,2,6,1,3,5,6,7,7,3,1,2,4,3,3,2,1,3,4,1,4,4,4,2,6,7,1
1407,Female,6,6,7,7,4,1,3,7,1,7,3,6,6,2,2,4,7,2,4,2,7,4,5,1,3,1,3,7,5,1
1408,Male,4,2,2,2,1,3,5,3,2,5,7,7,6,3,1,5,5,7,6,7,3,4,3,1,4,3,4,5,1,0
1409,Female,6,7,4,7,1,4,3,5,7,5,3,3,3,4,5,3,2,6,3,5,7,5,5,1,3,2,7,5,2,0
1410,Female,2,5,5,5,4,7,3,3,3,7,4,5,1,4,5,5,3,5,7,4,5,1,3,5,2,6,1,6,2,0
1411,Female,12,5,2,4,2,6,2,4,2,1,7,5,5,1,7,3,5,4,7,6,7,7,3,2,3,1,2,5,6,0
1412,Female,3,6,5,2,6,3,4,3,5,6,6,2,7,1,5,2,6,4,3,5,5,5,1,5,1,4,6,2,6,1
1413,Female,6,1,1,6,7,7,4,7,2,7,5,1,5,5,7,3,2,7,6,4,6,1,6,7,7,4,7,1,5,0
1414,Male,7,2,6,3,2,3,6,7,1,5,5,3,7,4,2,1,1,5,3,6,5,1,7,6,2,5,1,6,1,1
1415,Female,7,3,2,2,7,3,6,3,3,3,7,4,2,3,2,1,5,6,2,1,4,2,5,2,5,4,4,5,7,0
1416,Female,2,2,7,6,3,1,5,4,5,5,4,7,6,7,1,1,3,1,1,6,2,6,2,6,3,3,5,1,5,1
1417,Female,7,7,1,3,7,1,4,6,3,2,3,2,3,1,5,6,3,6,5,7,3,4,3,5,3,7,6,4,6,0
1418,Female,10,1,2,7,4,5,4,6,2,3,2,7,1,5,7,4,7,7,7,1,3,6,2,6,7,1,6,7,5,0
1419,Male,4,2,2,7,7,7,7,2,7,2,3,5,4,2,6,2,4,3,7,7,7,6,1,7,1,3,5,7,6,0
1420,Female,8,1,3,3,1,2,1,5,1,6,1,3,2,3,2,7,4,7,1,1,7,1,7,5,6,7,2,4,1,0
1421,Female,8,3,3,6,4,6,1,7,2,5,1,2,3,2,4,7,2,1,6,3,6,5,1,7,6,1,5,3,7,1
1422,Female,9,1,7,5,1,3,4,5,7,3,7,4,6,4,6,1,3,1,6,2,6,5,7,4,6,2,6,6,3,1
1423,Female,5,1,3,6,5,7,4,3,5,4,7,4,5,6,2,1,1,1,2,6,3,3,3,5,2,6,2,6,7,0
1424,Female,11,7,5,5,2,3,2,6,3,2,5,4,1,6,1,7,2,3,4,5,1,4,2,6,5,3,6,7,4,1
1425,Male,2,5,6,5,1,4,1,2,3,1,7,3,1,3,2,6,6,2,1,6,6,5,2,3,6,7,6,3,6,1
1426,Female,5,4,3,1,5,4,2,4,3,2,7,5,4,5,5,3,3,2,2,7,7,4,5,3,3,7,4,7,1,0
1427,Male,4,6,4,5,7,3,2,5,2,5,7,4,2,5,1,5,2,4,7,1,1,7,1,1,3,3,7,5,7,1
1428,Female,8,6,1,6,2,7,3,4,2,7,1,7,6,7,2,4,6,4,7,6,5,3,2,4,6,7,1,1,7,0
1429,Male,9,2,6,1,2,3,6,1,5,4,5,7,1,2,6,3,1,7,6,3,7,7,3,3,6,5,3,7,3,0
1430,Male,7,7,5,4,4,3,5,2,4,5,3,6,3,2,3,3,5,4,6,4,7,1,2,7,1,4,1,2,2,1
1431,Male,12,2,7,3,1,7,4,7,5,7,6,3,4,4,3,3,1,4,5,4,5,1,4,1,1,7,7,1,5,1
1432,Female,8,5,1,7,6,7,7,2,3,6,4,1,3,3,4,1,1,5,4,4,5,3,7,1,3,1,6,4,6,0
1433,Male,12,7,6,7,4,6,4,7,1,7,3,5,4,2,5,3,2,1,5,4,2,7,2,2,5,2,4,5,7,1
1434,Male,9,2,3,3,2,7,4,6,3,2,1,3,4,5,4,2,5,4,6,5,6,7,4,3,6,6,5,3,4,1
1435,Female,2,6,3,1,7,3,3,1,3,7,5,5,1,7,7,5,1,5,2,6,3,3,1,2,4,5,3,4,5,0
1436,Male,6,3,6,3,7,7,5,2,7,7,4,2,5,4,3,6,1,5,5,3,1,4,6,5,2,3,7,3,6,1
1437,Male,2,6,6,6,7,5,5,7,2,7,4,5,6,4,2,4,4,7,1,7,2,2,1,5,7,1,3,7,1,1
1438,Female,12,7,4,1,4,3,3,7,1,2,1,2,4,3,5,5,4,5,1,6,2,6,3,6,4,2,7,1,7,1
1439,Female,2,5,1,6,1,2,5,6,7,2,7,3,5,5,5,6,1,6,7,4,2,7,7,5,6,5,1,7,5,0
1440,Male,10,7,6,2,7,6,1,7,7,3,3,5,2,1,2,1,6,2,2,3,4,7,2,6,4,1,7,1,6,1
1441,Male,12,5,6,1,1,7,3,5,1,6,4,4,5,1,2,3,7,4,6,5,3,2,2,3,3,1,6,3,7,1
1442,Male,5,6,7,1,2,1,1,5,6,2,5,5,6,3,2,7,1,1,4,5,1,5,3,1,6,4,2,2,1,1
1443,Male,3,6,6,2,5,3,6,5,5,3,3,6,1,4,4,5,7,6,5,2,3,1,2,4,6,5,2,5,1,1
1444,Male,9,3,1,2,5,4,4,7,5,3,3,4,5,3,1,4,4,6,5,4,7,5,5,2,5,5,7,7,6,1
1445,Male,12,4,5,1,2,3,5,3,2,1,3,3,5,4,4,3,6,3,4,4,4,6,3,7,7,2,7,2,1,1
1446,Male,9,3,6,7,1,3,7,2,3,4,2,1,2,6,3,1,4,4,7,1,6,4,2,5,5,4,6,3,3,1
1447,Female,6,5,6,2,4,3,6,2,1,3,4,2,6,2,2,6,4,4,1,3,6,5,2,5,5,7,5,5,3,1
1448,Female,4,1,6,1,1,5,2,6,6,4,5,4,5,1,7,7,4,5,3,6,3,1,1,6,4,7,1,7,7,0
1449,Male,10,7,4,5,5,6,3,2,6,6,4,7,2,6,7,4,6,3,7,1,5,4,6,3,3,2,7,2,1,1
1450,Female,3,5,2,5,4,3,7,1,2,3,5,7,1,3,3,5,4,7,1,4,7,3,3,6,3,2,3,5,4,0
1451,Male,5,3,1,5,7,6,4,4,4,6,3,1,2,1,6,1,5,3,7,5,4,3,7,4,7,4,5,4,6,0
1452,Female,3,1,1,6,1,5,1,2,6,3,3,2,4,7,3,3,4,7,4,7,6,2,3,5,1,6,2,7,6,0
1453,Female,6,7,5,7,6,1,3,4,1,7,6,1,4,2,7,4,5,4,3,3,3,3,6,5,6,4,2,7,5,0
1454,Female,7,5,7,1,2,7,5,5,7,4,4,5,6,4,7,3,1,2,7,6,6,7,2,6,1,2,6,6,7,1
1455,Female,7,3,6,5,4,6,5,5,5,2,7,5,7,5,1,5,6,6,2,6,7,7,2,5,3,4,1,6,2,0
1456,Male,2,1,1,3,5,3,4,6,1,2,3,6,4,2,7,6,6,7,3,7,7,1,4,6,4,2,7,6,1,0
1457,Male,7,1,6,2,1,1,6,2,7,4,4,6,6,6,4,1,1,1,2,7,2,4,4,6,1,4,5,3,1,1
1458,Female,4,5,5,3,3,2,7,4,5,4,7,3,2,2,5,1,6,1,2,1,6,1,1,3,3,5,4,1,3,1
1459,Female,11,5,6,3,6,4,5,3,3,5,1,7,4,5,3,1,2,1,7,5,1,4,3,7,4,7,3,4,1,1
1460,Male,1,6,5,6,6,3,1,6,1,1,5,5,7,3,2,4,7,1,3,1,6,4,3,6,2,1,7,5,2,1
1461,Male,4,3,4,3,7,5,7,5,7,4,7,4,3,2,5,7,2,6,1,3,2,2,6,2,5,1,3,7,7,0
1462,Female,7,1,6,3,4,1,3,2,3,2,4,2,6,2,7,3,7,3,1,1,2,6,5,2,3,1,4,2,3,0
1463,Female,3,3,3,2,1,4,6,2,4,4,1,1,1,1,5,1,3,7,7,6,3,5,5,7,4,7,1,4,1,0
1464,Male,6,5,3,3,6,4,4,7,4,1,5,3,4,4,3,5,4,2,2,6,3,7,6,4,2,1,6,6,6,1
1465,Female,9,5,7,3,6,3,2,7,3,5,4,7,7,2,4,1,7,4,2,5,1,5,4,5,6,2,5,5,6,1
1466,Male,4,5,5,2,5,3,7,7,1,3,4,6,6,1,4,7,4,1,3,5,5,7,2,3,2,6,6,1,1,1
1467,Male,4,7,6,7,6,5,5,6,5,2,7,6,4,4,7,2,3,3,5,2,1,6,5,2,7,4,7,3,2,1
1468,Female,4,1,6,6,4,7,1,4,3,3,7,5,3,2,4,1,3,1,7,7,6,2,5,5,2,6,7,1,1,0
1469,Male,1,4,4,3,4,4,7,5,1,2,2,2,4,7,2,2,3,6,5,2,2,2,1,4,6,5,3,3,2,1
1470,Male,2,2,3,7,5,3,1,6,4,2,1,2,4,5,6,2,3,4,4,3,5,6,5,2,2,1,6,2,6,1
1471,Male,9,5,1,4,3,2,2,2,5,5,6,1,4,1,2,3,2,6,5,6,3,7,4,7,5,4,6,4,6,1
1472,Female,12,6,3,2,7,3,1,7,1,3,1,3,6,1,7,1,2,7,6,1,2,6,6,1,2,4,1,6,4,0
1473,Male,9,1,7,2,6,2,4,3,1,2,3,1,2,4,1,4,1,3,3,1,6,7,7,1,1,6,6,3,7,1
1474,Female,11,6,1,6,7,3,3,4,3,4,1,3,4,3,5,2,1,6,6,3,3,7,7,7,1,5,2,1,2,0
1475,Male,9,7,3,3,7,1,6,4,1,6,7,4,5,3,7,1,1,3,3,6,4,7,3,2,1,2,1,7,2,1
1476,Male,10,4,4,3,4,2,2,3,7,4,1,3,5,7,2,7,6,1,1,3,7,5,4,6,2,5,7,1,5,1
1477,Female,3,7,3,4,3,1,6,6,1,7,7,2,3,2,6,4,3,4,2,3,7,3,6,1,7,5,2,7,3,0
1478,Male,6,3,4,1,4,7,6,3,6,7,7,2,1,7,2,4,1,2,1,7,7,5,1,2,5,6,7,5,7,1
1479,Male,2,6,6,1,5,2,6,1,1,4,1,6,3,7,2,1,3,6,2,3,5,2,4,7,5,7,1,2,1,1
1480,Female,2,2,1,6,3,1,1,5,5,3,5,3,6,6,4,3,6,1,5,5,5,5,1,2,6,7,6,3,3,1
1481,Female,2,5,2,2,6,6,4,3,5,1,6,7,6,4,5,2,3,6,3,3,6,2,3,6,6,2,4,5,4,0
1482,Female,11,6,4,6,6,6,3,1,2,5,3,7,1,1,4,5,4,5,2,3,1,4,5,6,7,6,3,7,1,0
1483,Male,4,4,7,1,4,1,1,4,6,4,2,4,7,3,3,2,6,1,5,6,3,3,1,4,4,3,1,5,2,1
1484,Female,9,2,1,5,4,6,4,1,7,2,2,3,2,4,1,4,7,6,2,5,5,4,7,4,7,3,4,4,7,0
1485,Male,1,3,6,1,4,3,2,2,4,5,3,3,5,3,1,3,3,4,6,2,1,5,2,1,6,5,4,1,6,1
1486,Male,3,4,1,3,6,2,6,5,4,5,3,5,6,7,5,7,7,2,3,3,4,2,1,4,6,6,3,5,7,1
1487,Female,8,4,2,7,4,7,1,7,6,1,1,5,3,7,7,6,4,5,3,2,6,4,3,6,7,3,1,7,6,0
1488,Male,12,6,7,4,2,3,1,7,6,1,3,6,7,7,2,1,2,3,5,1,7,1,1,5,5,6,4,6,1,1
1489,Male,9,2,7,7,4,6,3,4,6,4,1,6,2,4,3,2,3,3,4,2,7,4,5,3,3,4,2,5,2,1
1490,Female,10,3,2,1,7,6,4,5,7,2,6,3,4,3,6,2,7,7,5,1,5,5,7,1,5,5,4,2,6,0
1491,Female,4,3,4,1,2,1,5,7,3,6,7,3,5,2,2,2,1,4,4,1,2,7,3,5,3,4,5,7,3,1
1492,Female,7,4,2,2,2,3,3,7,2,7,2,6,6,5,6,5,4,3,7,5,7,2,2,1,4,3,3,5,3,0
1493,Female,9,3,5,5,3,5,2,1,1,3,6,3,2,4,1,7,1,1,5,7,4,7,7,2,1,1,7,4,6,0
1494,Female,9,6,2,6,5,2,7,2,7,4,4,6,2,5,4,2,5,7,6,1,3,6,6,2,6,5,5,5,1,0
1495,Male,9,7,7,1,5,5,4,2,4,2,7,4,4,6,6,7,2,5,3,2,3,1,2,5,7,3,1,2,7,1
1496,Female,2,1,5,2,7,7,4,7,7,4,6,7,1,1,1,2,2,4,5,4,1,2,6,3,2,2,1,6,3,0
1497,Male,2,4,5,2,1,5,2,6,5,3,6,2,1,7,6,2,2,5,1,7,5,3,1,5,5,5,6,1,7,1
1498,Male,11,1,1,6,4,2,6,2,1,2,1,4,7,3,3,6,4,4,3,1,6,1,1,2,4,2,6,5,1,1
1499,Female,6,2,2,7,5,4,1,5,5,6,1,3,2,1,6,1,7,7,2,5,4,1,2,2,6,4,2,2,4,0
1500,Male,6,5,2,4,6,3,1,5,2,7,1,3,7,3,3,2,3,4,4,3,4,3,7,2,5,3,7,2,6,1
